Date,Open,High,Low,Close,Adj Close,Volume,GDP,Balance of trade ,Total Population,Total cases,Total deaths,People Vaccinated,Uncertainty index,MYR/USD,Unemployment rate,Inflation rate,Interest rate ,FTSE Bursa Malaysia KLCI,WTI Crude Oil,Brent Crude Oil
23-05-2019,9.04,9.17,8.69,8.73,8.261704,131000,350000000000,9075500000,31949777,0,0,0,0.0000000,0.239069,0.033,0.002,0.0294,1601.869995,57.65,68.37
24-05-2019,8.73,8.88,8.71,8.8,8.32795,41100,350000000000,9075500000,31949777,0,0,0,0.0000000,0.238692,0.033,0.002,0.03,1598.319946,58.4,67.98
27-05-2019,8.8,8.8,8.6,8.7,8.233314,47200,350000000000,9075500000,31949777,0,0,0,0.0000000,0.239006,0.033,0.002,0.0295,1601.349976,,
28-05-2019,8.75,9.34,8.75,9.34,8.838983,150000,350000000000,9075500000,31949777,0,0,0,0.0000000,0.239,0.033,0.002,0.0294,1614.569946,58.91,70.19
29-05-2019,9.02,9.19,8.9,8.96,8.479368,109900,350000000000,9075500000,31949777,0,0,0,0.0000000,0.238892,0.033,0.002,0.0294,1623.670044,58.84,70.64
30-05-2019,9.01,9.01,8.8,8.84,8.365804,113900,350000000000,9075500000,31949777,0,0,0,0.0000000,0.238493,0.033,0.002,0.0292,1636.5,56.47,69.55
31-05-2019,8.86,8.97,8.85,8.94,8.460439,1263100,350000000000,9075500000,31949777,0,0,0,0.0000000,0.239006,0.033,0.002,0.0299,1650.76001,53.49,66.78
03-06-2019,8.96,9,8.9,8.91,8.432049,103500,350000000000,10512200000,31949777,0,0,0,0.0000000,0.238686,0.033,0,0.0294,1655.310059,53.25,63.16
04-06-2019,8.88,8.91,8.76,8.79,8.318487,89300,350000000000,10512200000,31949777,0,0,0,0.0000000,0.239292,0.033,0,0.03,1644.089966,53.5,63.56
05-06-2019,8.79,8.79,8.79,8.79,8.318487,0,350000000000,10512200000,31949777,0,0,0,0.0000000,0.240038,0.033,0,0.03,,51.57,62.14
06-06-2019,8.79,8.79,8.79,8.79,8.318487,0,350000000000,10512200000,31949777,0,0,0,0.0000000,0.239664,0.033,0,0.03,,52.59,62.77
07-06-2019,8.8,8.97,8.73,8.81,8.337414,49500,350000000000,10512200000,31949777,0,0,0,0.0000000,0.241167,0.033,0,0.03,1649.329956,53.95,64.1
10-06-2019,8.81,8.94,8.8,8.9,8.422585,31100,350000000000,10512200000,31949777,0,0,0,0.0000000,0.241225,0.033,0,0.0298,1655.469971,53.33,64.31
11-06-2019,8.99,8.99,8.9,8.9,8.422585,112200,350000000000,10512200000,31949777,0,0,0,0.0000000,0.240356,0.033,0,0.03,1651.199951,53.3,63.56
12-06-2019,8.85,8.88,8.75,8.88,8.567304,37000,350000000000,10512200000,31949777,0,0,0,0.0000000,0.240321,0.033,0,0.03,1650.73999,51.13,61.66
13-06-2019,8.9,8.9,8.79,8.85,8.53836,273600,350000000000,10512200000,31949777,0,0,0,0.0000000,0.240558,0.033,0,0.03,1643.73999,52.38,63.28
14-06-2019,8.81,8.86,8.81,8.85,8.53836,55400,350000000000,10512200000,31949777,0,0,0,0.0000000,0.240379,0.033,0,0.03,1638.630005,52.47,63.13
17-06-2019,8.8,8.88,8.8,8.85,8.53836,24000,350000000000,10512200000,31949777,0,0,0,0.0000000,0.240096,0.033,0,0.0293,1638.400024,51.94,62.56
18-06-2019,8.88,8.88,8.75,8.79,8.480474,134100,350000000000,10512200000,31949777,0,0,0,0.0000000,0.239464,0.033,0,0.0294,1652.76001,53.86,63.35
19-06-2019,8.8,8.86,8.78,8.81,8.499769,35300,350000000000,10512200000,31949777,0,0,0,0.0000000,0.240263,0.033,0,0.0299,1666.540039,53.74,62.85
20-06-2019,8.89,9.21,8.89,9.2,8.876037,106900,350000000000,10512200000,31949777,0,0,0,0.0000000,0.239745,0.033,0,0.0293,1675.430054,56.88,65.44
21-06-2019,9.12,9.26,9.12,9.21,8.885683,42400,350000000000,10512200000,31949777,0,0,0,0.0000000,0.241225,0.033,0,0.0292,1682.22998,57.35,65.99
24-06-2019,9.33,9.33,9,9.14,8.818149,29700,350000000000,10512200000,31949777,0,0,0,0.0000000,0.241873,0.033,0,0.0294,1676.130005,57.73,65.16
25-06-2019,9.04,9.46,9.04,9.4,9.068992,101600,350000000000,10512200000,31949777,0,0,0,0.0000000,0.241721,0.033,0,0.0299,1676.609985,57.63,66.24
26-06-2019,9.4,9.4,9.27,9.33,9.001457,10800,350000000000,10512200000,31949777,0,0,0,0.0000000,0.242336,0.033,0,0.0294,1674.48999,59.17,66.85
27-06-2019,9.38,9.42,9.31,9.4,9.068992,32200,350000000000,10512200000,31949777,0,0,0,0.0000000,0.241791,0.033,0,0.0294,1672.699951,59.18,66.78
28-06-2019,9.38,9.4,9.22,9.22,8.895331,8500,350000000000,10512200000,31949777,0,0,0,0.0000000,0.241546,0.033,0,0.03,1672.130005,58.2,67.52
01-07-2019,9.44,9.85,9.43,9.82,9.474202,151700,361300000000,14275900000,31949777,0,0,0,0.0000000,0.242477,0.033,0.001,0.0292,1683.619995,58.91,65.1
02-07-2019,9.8,9.8,9.65,9.79,9.445259,22100,361300000000,14275900000,31949777,0,0,0,0.0000000,0.24209,0.033,0.001,0.03,1691,56,62.72
03-07-2019,9.8,9.82,9.51,9.7,9.358428,12600,361300000000,14275900000,31949777,0,0,0,0.0000000,0.241546,0.033,0.001,0.03,1690.050049,57.06,63.53
04-07-2019,9.66,9.66,9.6,9.6,9.26195,26200,361300000000,14275900000,31949777,0,0,0,0.0000000,0.241832,0.033,0.001,0.03,1687.47998,,63.62
05-07-2019,9.61,9.61,9.54,9.57,9.233006,10100,361300000000,14275900000,31949777,0,0,0,0.0000000,0.242131,0.033,0.001,0.03,1682.530029,,64.23
08-07-2019,9.52,9.62,9.5,9.6,9.26195,8800,361300000000,14275900000,31949777,0,0,0,0.0000000,0.241955,0.033,0.001,0.0295,1677.640015,57.35,64.89
09-07-2019,9.6,9.6,9.3,9.49,9.155823,32000,361300000000,14275900000,31949777,0,0,0,0.0000000,0.241955,0.033,0.001,0.03,1682.869995,57.57,64.3
10-07-2019,9.32,9.49,9.32,9.4,9.068992,55400,361300000000,14275900000,31949777,0,0,0,0.0000000,0.241587,0.033,0.001,0.03,1678.969971,60.28,66.41
11-07-2019,9.39,9.4,9.28,9.4,9.068992,20500,361300000000,14275900000,31949777,0,0,0,0.0000000,0.242125,0.033,0.001,0.0297,1679.26001,59.93,67.64
12-07-2019,9.3,9.35,9.24,9.24,8.914627,35100,361300000000,14275900000,31949777,0,0,0,0.0000000,0.243013,0.033,0.001,0.03,1669.449951,59.99,66.65
15-07-2019,9.38,9.57,9.21,9.5,9.165471,75800,361300000000,14275900000,31949777,0,0,0,0.0000000,0.243285,0.033,0.001,0.0293,1672.369995,59.3,66.86
16-07-2019,9.66,9.66,9.35,9.54,9.204062,10500,361300000000,14275900000,31949777,0,0,0,0.0000000,0.243855,0.033,0.001,0.03,1668.939941,57.44,65.87
17-07-2019,9.31,9.44,9.3,9.31,8.982162,2400,361300000000,14275900000,31949777,0,0,0,0.0000000,0.243588,0.033,0.001,0.0299,1657.530029,56.5,63.67
18-07-2019,9.31,9.31,9.31,9.31,8.982162,0,361300000000,14275900000,31949777,0,0,0,0.0000000,0.243362,0.033,0.001,0.0295,1648.930054,55.08,60.7
19-07-2019,9.3,9.3,9.3,9.3,8.972513,4800,361300000000,14275900000,31949777,0,0,0,0.0000000,0.243599,0.033,0.001,0.0299,1658.189941,55.42,61.04
22-07-2019,9.45,9.47,9.3,9.32,8.991809,6100,361300000000,14275900000,31949777,0,0,0,0.0000000,0.243362,0.033,0.001,0.03,1655.400024,55.87,61.96
23-07-2019,9.3,9.49,9.2,9.45,9.117231,17500,361300000000,14275900000,31949777,0,0,0,0.0000000,0.243279,0.033,0.001,0.0295,1655.670044,56.58,62.28
24-07-2019,9.4,9.4,9.29,9.29,8.962866,300,361300000000,14275900000,31949777,0,0,0,0.0000000,0.242984,0.033,0.001,0.03,1652.410034,55.9,63.83
25-07-2019,9.27,9.27,9.23,9.23,8.904978,300,361300000000,14275900000,31949777,0,0,0,0.0000000,0.242925,0.033,0.001,0.03,1656.579956,55.88,63.47
26-07-2019,9.2,9.34,9.19,9.23,8.904978,13400,361300000000,14275900000,31949777,0,0,0,0.0000000,0.243132,0.033,0.001,0.03,1647.959961,56.04,62.46
29-07-2019,9.18,9.19,9.15,9.15,8.827795,25700,361300000000,14275900000,31949777,0,0,0,0.0000000,0.242895,0.033,0.001,0.03,1642.689941,56.85,62.29
31-07-2019,9.15,9.16,9.11,9.12,8.798852,6900,361300000000,14275900000,31949777,0,0,0,0.0000000,0.242571,0.033,0.001,0.03,1634.869995,58.53,64.07
01-08-2019,9.12,9.13,8.97,9.02,8.702373,134800,361300000000,10896400000,31949777,0,0,0,0.0000000,0.24283,0.033,0.002,0.03,1639.069946,53.64,62.9
02-08-2019,9,9.01,8.7,8.72,8.412938,185400,361300000000,10896400000,31949777,0,0,0,0.0000000,0.241517,0.033,0.002,0.03,1626.76001,55.67,61.12
05-08-2019,8.73,8.76,8.64,8.72,8.412938,206800,361300000000,10896400000,31949777,0,0,0,0.0000000,0.24072,0.033,0.002,0.0292,1610.410034,54.63,59.32
06-08-2019,8.6,8.79,8.59,8.71,8.403291,213400,361300000000,10896400000,31949777,0,0,0,0.0000000,0.239435,0.033,0.002,0.03,1611.790039,53.6,58.63
07-08-2019,8.72,8.72,8.55,8.61,8.30681,94100,361300000000,10896400000,31949777,0,0,0,0.0000000,0.238646,0.033,0.002,0.0292,1604.699951,51.14,55.03
